Configuration,Color,linestyle
E0_RM00_000,tab:blue,solid
E0_RM00_022,tab:orange,solid
E0_RM00_045,tab:green,solid
E0_RM00_067,tab:purple,solid
E0_RM00_090,tab:red,solid
E1_EQ00_000,tab:blue,dotted1
E1_EQ00_022,tab:orange,dotted1
E1_EQ00_045,tab:green,dotted1
E1_EQ00_067,tab:purple,dotted1
E1_EQ00_090,tab:red,dotted1
E1_UT00_000,tab:blue,dashed1
E1_UT00_022,tab:orange,dashed1
E1_UT00_045,tab:green,dashed1
E1_UT00_067,tab:purple,dashed1
E1_UT00_090,tab:red,dashed1
E1_UT45_000,tab:blue,dashdotdotted1
E1_UT45_m45,tab:gray,dashdotdotted1
E1_UT45_p45,tab:cyan,dashdotdotted1
E1_UT45_090,tab:red,dashdotdotted1
E1_UT90_000,tab:blue,dashdotted1
E1_UT90_022,tab:orange,dashdotted1
E1_UT90_045,tab:green,dashdotted1
E1_UT90_067,tab:purple,dashdotted1
E1_UT90_090,tab:red,dashdotted1
E2_EQ00_000,tab:blue,dotted2
E2_EQ00_022,tab:orange,dotted2
E2_EQ00_045,tab:green,dotted2
E2_EQ00_067,tab:purple,dotted2
E2_EQ00_090,tab:red,dotted2
E2_UT00_000,tab:blue,dashed2
E2_UT00_022,tab:orange,dashed2
E2_UT00_045,tab:green,dashed2
E2_UT00_067,tab:purple,dashed2
E2_UT00_090,tab:gray,dashed2
E2_UT45_000,tab:blue,dashdotdotted2
E2_UT45_m45,tab:gray,dashdotdotted2
E2_UT45_p45,tab:cyan,dashdotdotted2
E2_UT45_090,tab:red,dashdotdotted2
E2_UT90_000,tab:blue,dashdotted2
E2_UT90_022,tab:orange,dashdotted2
E2_UT90_045,tab:green,dashdotted2
E2_UT90_067,tab:purple,dashdotted2
E2_UT90_090,tab:red,dashdotted2
