Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_000_W02_001,1,E0_RM00_000,W02,001,31.May.2026 23:26,432,92,0,0.27476801160048314,-0.08706033904486754,0.3023613987752554,-0.090379695786115,89.3,ok,
E0_RM00_000_W02_002,1,E0_RM00_000,W02,002,31.May.2026 23:26,440,53,0,0.2647859915610283,-0.07868532902531085,0.30199114557728535,-0.08387694807244231,86.13,ok,
E0_RM00_000_W05_001,1,E0_RM00_000,W05,001,31.May.2026 23:26,461,121,0,0.25468695349610415,-0.03859689021159291,0.2727344898160903,-0.03513723406400347,89.21,check manually,
E0_RM00_000_W05_002,1,E0_RM00_000,W05,002,31.May.2026 23:27,468,159,0,0.24300200453245016,-0.039523431200938056,0.2640643238866869,-0.03698179786890131,88.31,ok,
E0_RM00_000_W08_001,1,E0_RM00_000,W08,001,31.May.2026 23:28,448,63,0,0.22678797719950344,0.0043072214619042405,0.21612695884730862,0.00424203333323212,84.1,ok,
E0_RM00_000_W08_002,1,E0_RM00_000,W08,002,31.May.2026 23:29,451,33,0,0.23149766664247254,0.00490506182651262,0.20511055695573246,0.006067690972648093,66.65,ok,
E0_RM00_000_W09_001,1,E0_RM00_000,W09,001,31.May.2026 23:29,443,89,0,0.20567748214236994,0.017311449542089744,0.19320485400739573,0.016603076193952064,83.94,ok,
E0_RM00_000_W09_002,1,E0_RM00_000,W09,002,31.May.2026 23:30,446,76,0,0.20544442519272418,0.01719148197569818,0.22078865693640984,0.014722785386106857,81.05,ok,
E0_RM00_000_W10_001,1,E0_RM00_000,W10,001,31.May.2026 23:30,447,122,0,0.19257135802636977,0.024667546895427116,0.17613879300847496,0.023188655235949145,89.43,ok,
E0_RM00_000_W10_002,1,E0_RM00_000,W10,002,31.May.2026 23:31,460,115,0,0.19879104308920464,0.022043413608829616,0.20418085161704558,0.020607022169061823,86.6,check manually,
E0_RM00_000_W12_001,1,E0_RM00_000,W12,001,31.May.2026 23:31,566,152,0,0.1927778114718715,0.04757292691882201,0.17462859975582434,0.039698967510081076,82.87,ok,- l 1: e3 unstable -- l 2: e3 unstable -- l 3: e3 unstable -
E0_RM00_000_W12_002,1,E0_RM00_000,W12,002,31.May.2026 23:32,486,131,0,0.17974045067154742,0.04823394450540473,0.17822606516448974,0.04426844824594413,89.5,ok,
E0_RM00_000_W20_001,1,E0_RM00_000,W20,001,31.May.2026 23:33,603,91,0,0.3851128530188916,0.34644402713018824,0.38863807776061804,0.3487022664092526,83.84,ok,
E0_RM00_000_W20_002,1,E0_RM00_000,W20,002,31.May.2026 23:33,600,29,0,0.4110049690195912,0.3490511122419441,0.3751798034571576,0.33480850946012697,81.69,ok,
E0_RM00_007_W02_001,1,E0_RM00_007,W02,001,31.May.2026 23:34,394,69,0,0.2242035614096234,-0.08807962103467105,0.27160688938781335,-0.10041468359526781,88.38,fail,
E0_RM00_007_W12_001,1,E0_RM00_007,W12,001,31.May.2026 23:34,425,212,0,0.1898575609286984,0.0007757423361679455,0.1736730434873553,0.0003814801264493017,88.86,check manually,
E0_RM00_014_W02_001,1,E0_RM00_014,W02,001,31.May.2026 23:35,426,35,0,0.2903058297515656,-0.04647889798102171,0.30780733603710536,-0.05065290601051988,89.11,ok,
E0_RM00_014_W02_002,1,E0_RM00_014,W02,002,31.May.2026 23:35,422,11,0,0.22076003632029972,-0.027812213349986722,0.31740953193111354,-0.04908817738055256,89.25,ok,
E0_RM00_014_W05_001,1,E0_RM00_014,W05,001,31.May.2026 23:36,405,25,0,0.2817218347473909,0.019041802307576624,0.2653078631511122,0.012294019661658884,88.64,ok,
E0_RM00_014_W05_002,1,E0_RM00_014,W05,002,31.May.2026 23:36,402,16,0,0.28369996771493367,0.019085450714184007,0.26282910435808227,0.012294545545805714,79.5,ok,
E0_RM00_014_W08_001,1,E0_RM00_014,W08,001,31.May.2026 23:37,400,30,0,0.2844702757375185,0.0527994497224342,0.24734909826876234,0.03931730417700794,87.81,ok,
E0_RM00_014_W08_002,1,E0_RM00_014,W08,002,31.May.2026 23:37,407,53,0,0.29886489439951747,0.05380989716535336,0.27277588170431655,0.03925735426804955,87.97,ok,
E0_RM00_014_W09_001,1,E0_RM00_014,W09,001,31.May.2026 23:38,420,47,0,0.2862094947104824,0.0683774939449183,0.23624433198860703,0.05390791201430225,87.36,ok,
E0_RM00_014_W09_002,1,E0_RM00_014,W09,002,31.May.2026 23:38,404,40,0,0.2275935571178112,0.07031155465280309,0.28056994293367027,0.05725732829871274,82.31,ok,
