Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_000_W02_001,1,E0_RM00_000,W02,001,31.May.2026 22:55,433,51,0,0.294651752294496,-0.09088006078503853,0.3188270765710176,-0.09250728076746643,89.67,ok,
E0_RM00_000_W02_002,1,E0_RM00_000,W02,002,31.May.2026 22:55,429,5,0,0.27912167552249884,-0.0782251660925111,0.31562447463280235,-0.08907533477246148,80.43,ok,
E0_RM00_000_W05_001,1,E0_RM00_000,W05,001,31.May.2026 22:55,472,118,0,0.2540323733033874,-0.03774532130616766,0.2918083848815467,-0.037779215449039234,78.21,ok,
E0_RM00_000_W05_002,1,E0_RM00_000,W05,002,31.May.2026 22:56,473,28,0,0.25831841280502554,-0.04479319771042967,0.2941734166632915,-0.040178523199266146,80.7,ok,
E0_RM00_000_W08_001,1,E0_RM00_000,W08,001,31.May.2026 22:57,468,90,0,0.23677651070793693,0.0031527291074589423,0.26325988651113486,0.004910098127540586,88.8,ok,
E0_RM00_000_W08_002,1,E0_RM00_000,W08,002,31.May.2026 22:57,459,60,0,0.2194269593196694,0.006354334437073744,0.23415415179665686,0.004712691598538687,89.56,ok,
E0_RM00_000_W09_001,1,E0_RM00_000,W09,001,31.May.2026 22:58,450,89,0,0.21723416011666627,0.01966266911558189,0.21976239822044077,0.01917027978861996,89.54,ok,
E0_RM00_000_W09_002,1,E0_RM00_000,W09,002,31.May.2026 22:58,450,90,0,0.24021721462596138,0.017969718547362203,0.22141326557420524,0.017980192159760693,89.44,ok,
E0_RM00_000_W10_001,1,E0_RM00_000,W10,001,31.May.2026 22:59,449,83,0,0.20323529220002842,0.029538970071030415,0.20873156740465032,0.026546574705154747,89.57,ok,
E0_RM00_000_W10_002,1,E0_RM00_000,W10,002,31.May.2026 22:59,455,77,0,0.18476349874876874,0.027263260603859155,0.19647298191236545,0.02367514171968237,80.98,ok,
E0_RM00_000_W12_001,1,E0_RM00_000,W12,001,31.May.2026 23:00,468,187,0,0.1989924189892221,0.0522855891086531,0.20232012210114797,0.04761060966797777,89.5,ok,
E0_RM00_000_W12_002,1,E0_RM00_000,W12,002,31.May.2026 23:00,469,133,0,0.2057992662602698,0.05121347863139988,0.20067866186669453,0.0502902310122957,74.42,ok,- l 5: e1 unstable -
E0_RM00_000_W20_001,1,E0_RM00_000,W20,001,31.May.2026 23:01,603,11,0,0.4271812319755554,0.3654105221832192,0.3810133872412923,0.3520562613906713,64.2,ok,- l 2: e1 unstable -
E0_RM00_000_W20_002,1,E0_RM00_000,W20,002,31.May.2026 23:01,737,114,0,0.35115895904723565,0.32875766317443095,0.3888445584543666,0.3570436022593182,15.13,ok,
E0_RM00_007_W02_001,1,E0_RM00_007,W02,001,31.May.2026 23:02,391,2,0,0.38753557415817314,-0.14789306232870256,0.26707616412447377,-0.10031668634990365,87.64,ok,
E0_RM00_014_W02_001,1,E0_RM00_014,W02,001,31.May.2026 23:03,457,0,0,0.2924325362709928,-0.04038777146950241,0.34101106805122433,-0.04672431144352538,89.33,ok,
E0_RM00_014_W02_002,1,E0_RM00_014,W02,002,31.May.2026 23:03,424,21,0,0.29264232987581296,-0.03924561818671781,0.3389813385233963,-0.04489113766685456,74.29,ok,
E0_RM00_014_W05_001,1,E0_RM00_014,W05,001,31.May.2026 23:03,408,17,0,0.28197659207368964,0.026328526743089976,0.29375545837280803,0.018409834749008158,88.57,ok,
E0_RM00_014_W05_002,1,E0_RM00_014,W05,002,31.May.2026 23:04,402,12,0,0.2880917169233234,0.026834316392598204,0.2849716520079454,0.022862155155685848,88.82,ok,
E0_RM00_014_W08_001,1,E0_RM00_014,W08,001,31.May.2026 23:04,414,38,0,0.3413719404488802,0.06489130656700581,0.31698638435646703,0.055066492774131184,88.08,ok,
E0_RM00_014_W08_002,1,E0_RM00_014,W08,002,31.May.2026 23:05,406,47,0,0.3112583906174852,0.06683564687577578,0.3009888749633504,0.05477506973215106,88.19,ok,
E0_RM00_014_W09_001,1,E0_RM00_014,W09,001,31.May.2026 23:05,415,37,0,0.31719131121024263,0.08494060961198686,0.3051160060522272,0.07020908649994681,87.53,ok,
E0_RM00_014_W09_002,1,E0_RM00_014,W09,002,31.May.2026 23:06,412,44,0,0.32205439730353225,0.0815006550795362,0.29855761608883985,0.07075992514593246,87.59,ok,
