Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_000_W02_001,1,E0_RM00_000,W02,001,31.May.2026 21:53,428,12,0,0.3402704735489868,-0.08645214164514105,0.3610076432600936,-0.08557536235191367,82.13,ok,
E0_RM00_000_W02_002,1,E0_RM00_000,W02,002,31.May.2026 21:53,427,6,0,0.3323858578479727,-0.08304143956428423,0.3553431824905854,-0.08515002638344663,58.51,ok,
E0_RM00_000_W05_001,1,E0_RM00_000,W05,001,31.May.2026 21:54,462,34,0,0.3247630002345154,-0.033552115314645685,0.33272773472836553,-0.027779617984132855,89.31,ok,
E0_RM00_000_W05_002,1,E0_RM00_000,W05,002,31.May.2026 21:54,465,58,0,0.3306097753669905,-0.03797590192677318,0.3620619298193916,-0.03421144757672839,89.81,ok,
E0_RM00_000_W08_001,1,E0_RM00_000,W08,001,31.May.2026 21:55,468,94,0,0.29464605831890367,0.011925885657547042,0.3085908817790793,0.01453237127836381,88.21,ok,
E0_RM00_000_W08_002,1,E0_RM00_000,W08,002,31.May.2026 21:55,466,32,0,0.3144082983244856,0.010537280062991927,0.30617101303450367,0.014272416449708992,89.65,ok,
E0_RM00_000_W09_001,1,E0_RM00_000,W09,001,31.May.2026 21:56,457,28,0,0.2815484272326277,0.027364152515195108,0.2941974867142191,0.025563085622196068,89.66,ok,
E0_RM00_000_W09_002,1,E0_RM00_000,W09,002,31.May.2026 21:56,452,97,0,0.29276289357269397,0.026205987646626155,0.30416503203545375,0.024130651463443377,74.87,ok,- l 4: e1 unstable -- l 4: e3 unstable -
E0_RM00_000_W10_001,1,E0_RM00_000,W10,001,31.May.2026 21:57,452,79,0,0.25521476292699213,0.03965951732588527,0.29341937247362626,0.030409063944255476,88.88,ok,
E0_RM00_000_W10_002,1,E0_RM00_000,W10,002,31.May.2026 21:57,453,77,0,0.2955679240837768,0.036887800401479154,0.27254097915110453,0.03486755537699038,89.72,ok,
E0_RM00_000_W12_001,1,E0_RM00_000,W12,001,31.May.2026 21:58,474,172,0,0.3034564148516278,0.06251338268000377,0.2741238552007638,0.05329916456023489,67.92,ok,- l 5: e3 unstable -
E0_RM00_000_W12_002,1,E0_RM00_000,W12,002,31.May.2026 21:58,478,87,0,0.2665206642295213,0.0646728192610591,0.2678636302788674,0.04148164115595462,72.36,ok,- l 1: e3 unstable -- l 2: e3 unstable -- l 3: e3 unstable -
E0_RM00_000_W20_001,1,E0_RM00_000,W20,001,31.May.2026 21:59,606,106,0,0.4358621183504448,0.39572464308233674,0.41874217655742274,0.4025005480925123,14.11,ok,- l 1: e1 unstable -
E0_RM00_000_W20_002,1,E0_RM00_000,W20,002,31.May.2026 21:59,603,184,0,0.39511670007013167,0.36779562391048876,0.41263344412216874,0.38355352643360374,23.38,ok,- l 2: e1 unstable -- l 3: e1 unstable -- l 3: e3 unstable -- l 4: e1 unstable -- l 4: e3 unstable -- l 5: e1 unstable -- l 5: e3 unstable -
E0_RM00_007_W02_001,1,E0_RM00_007,W02,001,31.May.2026 22:00,397,50,0,0.2922293074177892,-0.11440662526933665,0.3267311016571671,-0.11642158071846591,89.32,fail,
E0_RM00_014_W02_001,1,E0_RM00_014,W02,001,31.May.2026 22:01,408,25,0,0.4660235627701408,-0.06485557888534135,0.46167375606223776,-0.04409665220807503,73.34,ok,
E0_RM00_014_W02_002,1,E0_RM00_014,W02,002,31.May.2026 22:01,407,3,0,0.4353490440432305,-0.06072222265203329,0.4669845683871673,-0.04653796241081383,89.01,ok,
E0_RM00_014_W05_001,1,E0_RM00_014,W05,001,31.May.2026 22:01,420,38,0,0.390071940380009,0.04106929264896971,0.48867822474110517,0.039849472474732875,89.76,ok,
E0_RM00_014_W05_002,1,E0_RM00_014,W05,002,31.May.2026 22:02,419,42,0,0.38327924584463446,0.04504686968255153,0.505965491630135,0.03454420751094904,55.64,ok,
E0_RM00_014_W08_001,1,E0_RM00_014,W08,001,31.May.2026 22:03,429,49,0,0.3926792302407509,0.10321409647807109,0.4058457207671126,0.10332431686493945,89.64,ok,
E0_RM00_014_W08_002,1,E0_RM00_014,W08,002,31.May.2026 22:03,411,3,0,0.42011201321335967,0.08839578427536837,0.46352787032074794,0.09530522810390178,89.62,ok,
E0_RM00_014_W09_001,1,E0_RM00_014,W09,001,31.May.2026 22:04,408,30,0,0.4029755403669618,0.1250922682223846,0.4161254925534614,0.1261783696267665,89.55,ok,
E0_RM00_014_W09_002,1,E0_RM00_014,W09,002,31.May.2026 22:04,402,0,0,0.38411875410017626,0.12669090449420456,0.4106908239658809,0.12243992178408232,78.94,ok,
E0_RM00_014_W10_001,1,E0_RM00_014,W10,001,31.May.2026 22:04,460,37,0,0.3860647938645046,0.15105543660282403,0.40790837629727095,0.14996413195558597,81.96,ok,
E0_RM00_014_W10_002,1,E0_RM00_014,W10,002,31.May.2026 22:05,404,21,0,0.408438799272884,0.14709130216728558,0.4168780318325159,0.14667243118793927,77.94,ok,
E0_RM00_014_W12_001,1,E0_RM00_014,W12,001,31.May.2026 22:06,422,35,0,0.37444948789487953,0.20431807531156573,0.45153676666096343,0.20648580745177517,88.87,ok,
E0_RM00_014_W12_002,1,E0_RM00_014,W12,002,31.May.2026 22:06,416,5,0,0.3932262575659672,0.19523679773900762,0.42289777392192385,0.20507246698459164,87.45,ok,
E0_RM00_014_W20_001,0,E0_RM00_014,W20,001,31.May.2026 22:07,466,31,,0.48135695768213316,0.4418505936107536,,,,ok,
