thick,t_mm,width,test,W_Y,M,SAC,n,alpha,onset,frame,eps1,eps2
A,1.2,W02,001,15.0,0.7,0.0005,6,0.1,True,322,0.1638368375507402,-0.043359527801289974
A,1.2,W02,001,15.0,0.7,0.0005,6,0.2,True,408,0.3141749206884408,-0.09501411085143502
A,1.2,W02,001,15.0,0.7,0.0005,8,0.1,True,406,0.30753569176167617,-0.09299823347433114
A,1.2,W02,001,15.0,0.7,0.0005,8,0.2,True,408,0.3141749206884408,-0.09501411085143502
A,1.2,W02,001,15.0,0.7,0.0005,10,0.1,True,406,0.30753569176167617,-0.09299823347433114
A,1.2,W02,001,15.0,0.7,0.0005,10,0.2,True,408,0.3141749206884408,-0.09501411085143502
A,1.2,W02,001,15.0,0.7,0.001,6,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.7,0.001,6,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.7,0.001,8,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.7,0.001,8,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.7,0.001,10,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.7,0.001,10,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.0005,6,0.1,True,411,0.32879861490226087,-0.09886263329305767
A,1.2,W02,001,15.0,0.75,0.0005,6,0.2,True,412,0.3337561035597766,-0.10004935560770976
A,1.2,W02,001,15.0,0.75,0.0005,8,0.1,True,411,0.32879861490226087,-0.09886263329305767
A,1.2,W02,001,15.0,0.75,0.0005,8,0.2,True,412,0.3337561035597766,-0.10004935560770976
A,1.2,W02,001,15.0,0.75,0.0005,10,0.1,True,411,0.32879861490226087,-0.09886263329305767
A,1.2,W02,001,15.0,0.75,0.0005,10,0.2,True,412,0.3337561035597766,-0.10004935560770976
A,1.2,W02,001,15.0,0.75,0.001,6,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.001,6,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.001,8,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.001,8,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.001,10,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.75,0.001,10,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.0005,6,0.1,True,352,0.19700275913432794,-0.056020701189100006
A,1.2,W02,001,15.0,0.8,0.0005,6,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.0005,8,0.1,True,352,0.19700275913432794,-0.056020701189100006
A,1.2,W02,001,15.0,0.8,0.0005,8,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.0005,10,0.1,True,352,0.19700275913432794,-0.056020701189100006
A,1.2,W02,001,15.0,0.8,0.0005,10,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.001,6,0.1,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.001,6,0.2,True,387,0.23467248954154826,-0.0689652838088848
A,1.2,W02,001,15.0,0.8,0.001,8,0.1,True,387,0.23467248954154826,-0.0689652838088848
